fecha,comunidad_autonoma,provincia,casos_confirmados,ingresos_uci,fallecidos,altas,lat,lon
2023-01-03,Castilla y León,Valladolid,577,19,16,527,41.6523,-4.7245
2023-01-03,Cataluña,Barcelona,1753,100,41,1645,41.3851,2.1734
2023-01-03,Comunidad Valenciana,Valencia,928,35,15,849,39.4699,-0.3763
2023-01-03,Extremadura,Mérida,231,13,3,205,38.916,-6.3438
2023-01-03,Galicia,Santiago,646,25,10,567,42.8782,-8.5449
2023-01-03,Madrid,Madrid,1138,59,20,1066,40.4168,-3.7038
2023-01-03,Murcia,Murcia,180,6,2,154,37.9924,-1.1307
2023-01-03,Navarra,Pamplona,129,6,3,109,42.8125,-1.6432
2023-01-03,País Vasco,Vitoria,384,14,6,331,42.8464,-2.6724
2023-01-03,La Rioja,Logroño,70,3,1,59,42.4627,-2.4449
2023-01-03,Ceuta,Ceuta,19,0,0,16,35.8891,-5.3167
2023-01-03,Melilla,Melilla,18,0,0,16,35.2923,-2.9475
2023-01-04,Andalucía,Sevilla,1755,56,39,1560,37.3886,-5.9845
2023-01-04,Aragón,Zaragoza,309,15,4,273,41.6488,-0.8891
2023-01-04,Asturias,Oviedo,172,9,2,151,43.3614,-5.8458
2023-01-04,Islas Baleares,Palma,218,6,3,185,39.5696,2.6502
2023-01-04,Canarias,Las Palmas,450,23,9,389,28.1235,-15.4134
2023-01-04,Cantabria,Santander,135,7,1,121,43.4623,-3.8044
2023-01-04,Castilla-La Mancha,Toledo,392,14,6,363,39.8628,-4.0245
2023-01-04,Castilla y León,Valladolid,505,28,6,476,41.6523,-4.7245
2023-01-04,Cataluña,Barcelona,1693,86,46,1449,41.3851,2.1734
2023-01-04,Comunidad Valenciana,Valencia,960,35,22,831,39.4699,-0.3763
2023-01-04,Extremadura,Mérida,204,8,5,175,38.916,-6.3438
2023-01-04,Galicia,Santiago,497,29,14,423,42.8782,-8.5449
2023-01-04,Madrid,Madrid,1360,48,39,1243,40.4168,-3.7038
2023-01-04,Murcia,Murcia,172,9,3,154,37.9924,-1.1307
2023-01-04,Navarra,Pamplona,114,5,3,100,42.8125,-1.6432
2023-01-04,País Vasco,Vitoria,524,28,13,485,42.8464,-2.6724
2023-01-04,La Rioja,Logroño,62,2,1,55,42.4627,-2.4449
2023-01-04,Ceuta,Ceuta,17,0,0,15,35.8891,-5.3167
2023-01-04,Melilla,Melilla,14,0,0,12,35.2923,-2.9475
2023-01-05,Andalucía,Sevilla,1414,44,37,1308,37.3886,-5.9845
2023-01-05,Aragón,Zaragoza,216,12,4,190,41.6488,-0.8891
2023-01-05,Asturias,Oviedo,237,7,2,206,43.3614,-5.8458
2023-01-05,Islas Baleares,Palma,246,9,4,217,39.5696,2.6502
2023-01-05,Canarias,Las Palmas,482,23,11,442,28.1235,-15.4134
2023-01-05,Cantabria,Santander,139,5,1,120,43.4623,-3.8044
2023-01-05,Castilla-La Mancha,Toledo,463,17,10,436,39.8628,-4.0245
2023-01-05,Castilla y León,Valladolid,399,15,10,339,41.6523,-4.7245
2023-01-05,Cataluña,Barcelona,1768,53,49,1557,41.3851,2.1734
2023-01-05,Comunidad Valenciana,Valencia,855,44,21,773,39.4699,-0.3763
2023-01-05,Extremadura,Mérida,250,9,2,219,38.916,-6.3438
2023-01-05,Galicia,Santiago,620,24,15,586,42.8782,-8.5449
2023-01-05,Madrid,Madrid,1263,43,31,1100,40.4168,-3.7038
2023-01-05,Murcia,Murcia,188,8,4,175,37.9924,-1.1307
2023-01-05,Navarra,Pamplona,153,8,2,139,42.8125,-1.6432
2023-01-05,País Vasco,Vitoria,536,26,11,490,42.8464,-2.6724
2023-01-05,La Rioja,Logroño,53,2,0,48,42.4627,-2.4449
2023-01-05,Ceuta,Ceuta,20,0,0,17,35.8891,-5.3167
2023-01-05,Melilla,Melilla,14,0,0,13,35.2923,-2.9475
2023-01-06,Andalucía,Sevilla,1858,84,53,1584,37.3886,-5.9845
2023-01-06,Aragón,Zaragoza,278,14,5,245,41.6488,-0.8891
2023-01-06,Asturias,Oviedo,171,5,2,149,43.3614,-5.8458
2023-01-06,Islas Baleares,Palma,189,10,2,174,39.5696,2.6502
2023-01-06,Canarias,Las Palmas,458,24,13,430,28.1235,-15.4134
2023-01-06,Cantabria,Santander,116,4,2,108,43.4623,-3.8044
2023-01-06,Castilla-La Mancha,Toledo,343,16,7,294,39.8628,-4.0245
2023-01-06,Castilla y León,Valladolid,573,33,17,541,41.6523,-4.7245
2023-01-06,Cataluña,Barcelona,1736,59,49,1606,41.3851,2.1734
2023-01-06,Comunidad Valenciana,Valencia,1020,59,25,933,39.4699,-0.3763
2023-01-06,Extremadura,Mérida,222,11,4,195,38.916,-6.3438
2023-01-06,Galicia,Santiago,536,19,9,489,42.8782,-8.5449
2023-01-06,Madrid,Madrid,1232,73,20,1148,40.4168,-3.7038
2023-01-06,Murcia,Murcia,243,7,4,227,37.9924,-1.1307
2023-01-06,Navarra,Pamplona,127,5,2,115,42.8125,-1.6432
2023-01-06,País Vasco,Vitoria,372,15,5,337,42.8464,-2.6724
2023-01-06,La Rioja,Logroño,64,2,1,55,42.4627,-2.4449
2023-01-06,Ceuta,Ceuta,14,0,0,12,35.8891,-5.3167
2023-01-06,Melilla,Melilla,20,0,0,17,35.2923,-2.9475
2023-01-07,Andalucía,Sevilla,1793,93,24,1667,37.3886,-5.9845
2023-01-07,Aragón,Zaragoza,249,9,4,218,41.6488,-0.8891
2023-01-07,Asturias,Oviedo,239,13,4,212,43.3614,-5.8458
2023-01-07,Islas Baleares,Palma,226,9,3,205,39.5696,2.6502
2023-01-07,Canarias,Las Palmas,439,14,6,388,28.1235,-15.4134
2023-01-07,Cantabria,Santander,116,3,1,102,43.4623,-3.8044
2023-01-07,Castilla-La Mancha,Toledo,405,22,7,344,39.8628,-4.0245
2023-01-07,Castilla y León,Valladolid,530,24,9,470,41.6523,-4.7245
2023-01-07,Cataluña,Barcelona,1262,64,37,1196,41.3851,2.1734
2023-01-07,Comunidad Valenciana,Valencia,878,34,21,793,39.4699,-0.3763
2023-01-07,Extremadura,Mérida,265,9,3,239,38.916,-6.3438
2023-01-07,Galicia,Santiago,601,32,11,512,42.8782,-8.5449
2023-01-07,Madrid,Madrid,1447,83,19,1254,40.4168,-3.7038
2023-01-07,Murcia,Murcia,186,10,2,162,37.9924,-1.1307
2023-01-07,Navarra,Pamplona,138,8,1,123,42.8125,-1.6432
2023-01-07,País Vasco,Vitoria,487,26,9,452,42.8464,-2.6724
2023-01-07,La Rioja,Logroño,66,3,0,58,42.4627,-2.4449
2023-01-07,Ceuta,Ceuta,16,0,0,14,35.8891,-5.3167
2023-01-07,Melilla,Melilla,18,0,0,15,35.2923,-2.9475
2023-01-08,Andalucía,Sevilla,2033,64,58,1813,37.3886,-5.9845
2023-01-08,Aragón,Zaragoza,217,9,2,184,41.6488,-0.8891
2023-01-08,Asturias,Oviedo,168,6,4,151,43.3614,-5.8458
2023-01-08,Islas Baleares,Palma,187,10,2,160,39.5696,2.6502
2023-01-08,Canarias,Las Palmas,518,20,6,464,28.1235,-15.4134
2023-01-08,Cantabria,Santander,126,7,3,111,43.4623,-3.8044
2023-01-08,Castilla-La Mancha,Toledo,498,23,11,437,39.8628,-4.0245
2023-01-08,Castilla y León,Valladolid,569,25,6,486,41.6523,-4.7245
2023-01-08,Cataluña,Barcelona,1586,49,40,1367,41.3851,2.1734
2023-01-08,Comunidad Valenciana,Valencia,1230,47,21,1147,39.4699,-0.3763
2023-01-08,Extremadura,Mérida,235,7,2,215,38.916,-6.3438
2023-01-08,Galicia,Santiago,555,32,13,494,42.8782,-8.5449
2023-01-08,Madrid,Madrid,1291,64,32,1146,40.4168,-3.7038
2023-01-08,Murcia,Murcia,192,8,5,164,37.9924,-1.1307
2023-01-08,Navarra,Pamplona,113,4,2,101,42.8125,-1.6432
2023-01-08,País Vasco,Vitoria,545,26,15,484,42.8464,-2.6724
2023-01-08,La Rioja,Logroño,61,3,1,55,42.4627,-2.4449
2023-01-08,Ceuta,Ceuta,16,0,0,14,35.8891,-5.3167
2023-01-08,Melilla,Melilla,14,0,0,12,35.2923,-2.9475
2023-01-09,Andalucía,Sevilla,2078,124,60,1830,37.3886,-5.9845
2023-01-09,Aragón,Zaragoza,323,10,9,293,41.6488,-0.8891
2023-01-09,Asturias,Oviedo,172,7,4,163,43.3614,-5.8458
2023-01-09,Islas Baleares,Palma,237,12,5,204,39.5696,2.6502
2023-01-09,Canarias,Las Palmas,503,29,6,430,28.1235,-15.4134
2023-01-09,Cantabria,Santander,119,6,1,110,43.4623,-3.8044
2023-01-09,Castilla-La Mancha,Toledo,378,17,4,326,39.8628,-4.0245
2023-01-09,Castilla y León,Valladolid,512,20,12,464,41.6523,-4.7245
2023-01-09,Cataluña,Barcelona,1522,77,34,1316,41.3851,2.1734
2023-01-09,Comunidad Valenciana,Valencia,984,45,22,915,39.4699,-0.3763
2023-01-09,Extremadura,Mérida,235,14,3,206,38.916,-6.3438
2023-01-09,Galicia,Santiago,480,17,12,445,42.8782,-8.5449
2023-01-09,Madrid,Madrid,1510,66,31,1352,40.4168,-3.7038
2023-01-09,Murcia,Murcia,228,7,3,211,37.9924,-1.1307
2023-01-09,Navarra,Pamplona,145,7,2,135,42.8125,-1.6432
2023-01-09,País Vasco,Vitoria,528,27,8,458,42.8464,-2.6724
2023-01-09,La Rioja,Logroño,67,2,1,58,42.4627,-2.4449
2023-01-09,Ceuta,Ceuta,20,0,0,17,35.8891,-5.3167
2023-01-09,Melilla,Melilla,19,0,0,17,35.2923,-2.9475
2023-01-10,Andalucía,Sevilla,1695,56,38,1543,37.3886,-5.9845
2023-01-10,Aragón,Zaragoza,222,12,6,198,41.6488,-0.8891
2023-01-10,Asturias,Oviedo,203,6,3,184,43.3614,-5.8458
2023-01-10,Islas Baleares,Palma,233,7,3,219,39.5696,2.6502
2023-01-10,Canarias,Las Palmas,443,25,8,402,28.1235,-15.4134
2023-01-10,Cantabria,Santander,136,5,1,116,43.4623,-3.8044
2023-01-10,Castilla-La Mancha,Toledo,410,20,9,373,39.8628,-4.0245
2023-01-10,Castilla y León,Valladolid,575,32,15,495,41.6523,-4.7245
2023-01-10,Cataluña,Barcelona,1853,84,21,1687,41.3851,2.1734
2023-01-10,Comunidad Valenciana,Valencia,995,48,19,881,39.4699,-0.3763
2023-01-10,Extremadura,Mérida,205,9,5,177,38.916,-6.3438
2023-01-10,Galicia,Santiago,494,27,6,469,42.8782,-8.5449
2023-01-10,Madrid,Madrid,1636,90,21,1408,40.4168,-3.7038
2023-01-10,Murcia,Murcia,216,7,4,199,37.9924,-1.1307
2023-01-10,Navarra,Pamplona,129,5,2,117,42.8125,-1.6432
2023-01-10,País Vasco,Vitoria,534,26,9,463,42.8464,-2.6724
2023-01-10,La Rioja,Logroño,66,3,1,56,42.4627,-2.4449
2023-01-10,Ceuta,Ceuta,18,0,0,16,35.8891,-5.3167
2023-01-10,Melilla,Melilla,17,0,0,14,35.2923,-2.9475
2023-01-11,Andalucía,Sevilla,1954,63,38,1847,37.3886,-5.9845
2023-01-11,Aragón,Zaragoza,323,10,7,286,41.6488,-0.8891
2023-01-11,Asturias,Oviedo,244,10,5,217,43.3614,-5.8458
2023-01-11,Islas Baleares,Palma,224,9,2,202,39.5696,2.6502
2023-01-11,Canarias,Las Palmas,405,13,6,364,28.1235,-15.4134
2023-01-11,Cantabria,Santander,111,4,1,105,43.4623,-3.8044
2023-01-11,Castilla-La Mancha,Toledo,469,16,9,402,39.8628,-4.0245
2023-01-11,Castilla y León,Valladolid,409,13,6,371,41.6523,-4.7245
2023-01-11,Cataluña,Barcelona,1906,63,53,1759,41.3851,2.1734
2023-01-11,Comunidad Valenciana,Valencia,1182,57,21,1038,39.4699,-0.3763
2023-01-11,Extremadura,Mérida,233,9,6,208,38.916,-6.3438
2023-01-11,Galicia,Santiago,675,26,19,627,42.8782,-8.5449
2023-01-11,Madrid,Madrid,1160,69,31,1044,40.4168,-3.7038
2023-01-11,Murcia,Murcia,194,8,4,184,37.9924,-1.1307
2023-01-11,Navarra,Pamplona,158,5,2,144,42.8125,-1.6432
2023-01-11,País Vasco,Vitoria,461,20,11,435,42.8464,-2.6724
2023-01-11,La Rioja,Logroño,56,2,1,51,42.4627,-2.4449
2023-01-11,Ceuta,Ceuta,14,0,0,12,35.8891,-5.3167
2023-01-11,Melilla,Melilla,16,0,0,14,35.2923,-2.9475
2023-01-12,Andalucía,Sevilla,1951,65,41,1705,37.3886,-5.9845
2023-01-12,Aragón,Zaragoza,319,11,7,302,41.6488,-0.8891
2023-01-12,Asturias,Oviedo,243,13,7,218,43.3614,-5.8458
2023-01-12,Islas Baleares,Palma,254,8,2,238,39.5696,2.6502
2023-01-12,Canarias,Las Palmas,473,16,8,412,28.1235,-15.4134
2023-01-12,Cantabria,Santander,131,4,1,114,43.4623,-3.8044
2023-01-12,Castilla-La Mancha,Toledo,341,10,8,314,39.8628,-4.0245
2023-01-12,Castilla y León,Valladolid,596,32,7,508,41.6523,-4.7245
2023-01-12,Cataluña,Barcelona,1698,52,36,1532,41.3851,2.1734
2023-01-12,Comunidad Valenciana,Valencia,905,33,13,819,39.4699,-0.3763
2023-01-12,Extremadura,Mérida,242,12,5,226,38.916,-6.3438
2023-01-12,Galicia,Santiago,583,26,13,496,42.8782,-8.5449
2023-01-12,Madrid,Madrid,1603,68,19,1465,40.4168,-3.7038
2023-01-12,Murcia,Murcia,187,8,3,171,37.9924,-1.1307
2023-01-12,Navarra,Pamplona,136,6,2,126,42.8125,-1.6432
2023-01-12,País Vasco,Vitoria,546,32,9,508,42.8464,-2.6724
2023-01-12,La Rioja,Logroño,78,4,2,71,42.4627,-2.4449
2023-01-12,Ceuta,Ceuta,21,0,0,18,35.8891,-5.3167
2023-01-12,Melilla,Melilla,16,0,0,14,35.2923,-2.9475
2023-01-13,Andalucía,Sevilla,1814,87,35,1600,37.3886,-5.9845
2023-01-13,Aragón,Zaragoza,280,13,4,251,41.6488,-0.8891
2023-01-13,Asturias,Oviedo,175,6,2,159,43.3614,-5.8458
2023-01-13,Islas Baleares,Palma,267,13,4,249,39.5696,2.6502
2023-01-13,Canarias,Las Palmas,438,24,6,402,28.1235,-15.4134
2023-01-13,Cantabria,Santander,139,4,2,124,43.4623,-3.8044
2023-01-13,Castilla-La Mancha,Toledo,397,18,8,341,39.8628,-4.0245
2023-01-13,Castilla y León,Valladolid,463,18,7,431,41.6523,-4.7245
2023-01-13,Cataluña,Barcelona,1338,45,34,1185,41.3851,2.1734
2023-01-13,Comunidad Valenciana,Valencia,935,42,26,879,39.4699,-0.3763
2023-01-13,Extremadura,Mérida,271,15,6,241,38.916,-6.3438
2023-01-13,Galicia,Santiago,513,21,9,459,42.8782,-8.5449
2023-01-13,Madrid,Madrid,1129,43,18,1027,40.4168,-3.7038
2023-01-13,Murcia,Murcia,222,8,3,189,37.9924,-1.1307
2023-01-13,Navarra,Pamplona,114,5,1,97,42.8125,-1.6432
2023-01-13,País Vasco,Vitoria,551,23,12,480,42.8464,-2.6724
2023-01-13,La Rioja,Logroño,68,3,1,62,42.4627,-2.4449
2023-01-13,Ceuta,Ceuta,14,0,0,12,35.8891,-5.3167
2023-01-13,Melilla,Melilla,17,0,0,14,35.2923,-2.9475
2023-01-14,Andalucía,Sevilla,2021,73,28,1850,37.3886,-5.9845
2023-01-14,Aragón,Zaragoza,309,9,4,271,41.6488,-0.8891
2023-01-14,Asturias,Oviedo,243,11,6,211,43.3614,-5.8458
2023-01-14,Islas Baleares,Palma,247,9,6,218,39.5696,2.6502
2023-01-14,Canarias,Las Palmas,431,25,8,377,28.1235,-15.4134
2023-01-14,Cantabria,Santander,114,6,1,101,43.4623,-3.8044
2023-01-14,Castilla-La Mancha,Toledo,357,17,5,312,39.8628,-4.0245
2023-01-14,Castilla y León,Valladolid,605,28,6,569,41.6523,-4.7245
2023-01-14,Cataluña,Barcelona,1708,72,33,1583,41.3851,2.1734
2023-01-14,Comunidad Valenciana,Valencia,1119,62,12,1014,39.4699,-0.3763
2023-01-14,Extremadura,Mérida,201,9,5,184,38.916,-6.3438
2023-01-14,Galicia,Santiago,527,28,6,492,42.8782,-8.5449
2023-01-14,Madrid,Madrid,1195,61,22,1024,40.4168,-3.7038
2023-01-14,Murcia,Murcia,245,9,6,222,37.9924,-1.1307
2023-01-14,Navarra,Pamplona,111,6,1,105,42.8125,-1.6432
2023-01-14,País Vasco,Vitoria,502,23,6,469,42.8464,-2.6724
2023-01-14,La Rioja,Logroño,53,1,0,48,42.4627,-2.4449
2023-01-14,Ceuta,Ceuta,19,0,0,17,35.8891,-5.3167
2023-01-14,Melilla,Melilla,14,0,0,13,35.2923,-2.9475
2023-01-15,Andalucía,Sevilla,1660,77,31,1543,37.3886,-5.9845
2023-01-15,Aragón,Zaragoza,327,19,8,308,41.6488,-0.8891
2023-01-15,Asturias,Oviedo,238,13,2,223,43.3614,-5.8458
2023-01-15,Islas Baleares,Palma,220,11,4,201,39.5696,2.6502
2023-01-15,Canarias,Las Palmas,406,22,11,378,28.1235,-15.4134
2023-01-15,Cantabria,Santander,129,6,1,122,43.4623,-3.8044
2023-01-15,Castilla-La Mancha,Toledo,466,27,7,422,39.8628,-4.0245
2023-01-15,Castilla y León,Valladolid,452,25,7,401,41.6523,-4.7245
2023-01-15,Cataluña,Barcelona,1476,46,43,1256,41.3851,2.1734
2023-01-15,Comunidad Valenciana,Valencia,1157,59,33,1041,39.4699,-0.3763
2023-01-15,Extremadura,Mérida,274,13,5,247,38.916,-6.3438
2023-01-15,Galicia,Santiago,476,21,6,450,42.8782,-8.5449
2023-01-15,Madrid,Madrid,1677,68,28,1537,40.4168,-3.7038
2023-01-15,Murcia,Murcia,180,8,3,163,37.9924,-1.1307
2023-01-15,Navarra,Pamplona,161,7,2,149,42.8125,-1.6432
2023-01-15,País Vasco,Vitoria,432,13,4,392,42.8464,-2.6724
2023-01-15,La Rioja,Logroño,74,3,0,64,42.4627,-2.4449
2023-01-15,Ceuta,Ceuta,15,0,0,14,35.8891,-5.3167
2023-01-15,Melilla,Melilla,21,0,0,18,35.2923,-2.9475
2023-01-16,Andalucía,Sevilla,1666,72,24,1539,37.3886,-5.9845
2023-01-16,Aragón,Zaragoza,230,11,2,214,41.6488,-0.8891
2023-01-16,Asturias,Oviedo,257,11,4,232,43.3614,-5.8458
2023-01-16,Islas Baleares,Palma,277,13,7,251,39.5696,2.6502
2023-01-16,Canarias,Las Palmas,451,21,8,388,28.1235,-15.4134
2023-01-16,Cantabria,Santander,143,7,2,131,43.4623,-3.8044
2023-01-16,Castilla-La Mancha,Toledo,440,16,8,383,39.8628,-4.0245
2023-01-16,Castilla y León,Valladolid,609,33,8,550,41.6523,-4.7245
2023-01-16,Cataluña,Barcelona,1537,78,35,1407,41.3851,2.1734
2023-01-16,Comunidad Valenciana,Valencia,1289,55,36,1130,39.4699,-0.3763
2023-01-16,Extremadura,Mérida,231,9,5,213,38.916,-6.3438
2023-01-16,Galicia,Santiago,676,24,10,604,42.8782,-8.5449
2023-01-16,Madrid,Madrid,1247,38,23,1090,40.4168,-3.7038
2023-01-16,Murcia,Murcia,222,11,6,194,37.9924,-1.1307
2023-01-16,Navarra,Pamplona,166,7,3,148,42.8125,-1.6432
2023-01-16,País Vasco,Vitoria,456,22,10,418,42.8464,-2.6724
2023-01-16,La Rioja,Logroño,56,2,1,52,42.4627,-2.4449
2023-01-16,Ceuta,Ceuta,15,0,0,13,35.8891,-5.3167
2023-01-16,Melilla,Melilla,18,0,0,16,35.2923,-2.9475
2023-01-17,Andalucía,Sevilla,1687,78,49,1571,37.3886,-5.9845
2023-01-17,Aragón,Zaragoza,298,10,3,264,41.6488,-0.8891
2023-01-17,Asturias,Oviedo,241,8,5,225,43.3614,-5.8458
2023-01-17,Islas Baleares,Palma,206,6,3,185,39.5696,2.6502
2023-01-17,Canarias,Las Palmas,497,26,13,457,28.1235,-15.4134
2023-01-17,Cantabria,Santander,117,4,1,110,43.4623,-3.8044
2023-01-17,Castilla-La Mancha,Toledo,515,22,5,466,39.8628,-4.0245
2023-01-17,Castilla y León,Valladolid,493,27,6,452,41.6523,-4.7245
2023-01-17,Cataluña,Barcelona,1385,56,22,1277,41.3851,2.1734
2023-01-17,Comunidad Valenciana,Valencia,1068,43,19,953,39.4699,-0.3763
2023-01-17,Extremadura,Mérida,247,14,3,234,38.916,-6.3438
2023-01-17,Galicia,Santiago,585,29,6,530,42.8782,-8.5449
2023-01-17,Madrid,Madrid,1667,52,35,1422,40.4168,-3.7038
2023-01-17,Murcia,Murcia,206,6,2,180,37.9924,-1.1307
2023-01-17,Navarra,Pamplona,114,3,2,104,42.8125,-1.6432
2023-01-17,País Vasco,Vitoria,391,21,4,349,42.8464,-2.6724
2023-01-17,La Rioja,Logroño,58,3,1,53,42.4627,-2.4449
2023-01-17,Ceuta,Ceuta,21,0,0,19,35.8891,-5.3167
2023-01-17,Melilla,Melilla,16,0,0,14,35.2923,-2.9475
2023-01-18,Andalucía,Sevilla,1744,97,50,1633,37.3886,-5.9845
2023-01-18,Aragón,Zaragoza,308,10,8,277,41.6488,-0.8891
2023-01-18,Asturias,Oviedo,254,8,6,224,43.3614,-5.8458
2023-01-18,Islas Baleares,Palma,248,8,7,233,39.5696,2.6502
2023-01-18,Canarias,Las Palmas,511,20,11,467,28.1235,-15.4134
2023-01-18,Cantabria,Santander,107,4,2,94,43.4623,-3.8044
2023-01-18,Castilla-La Mancha,Toledo,371,15,4,350,39.8628,-4.0245
2023-01-18,Castilla y León,Valladolid,448,23,12,391,41.6523,-4.7245
2023-01-18,Cataluña,Barcelona,1432,69,27,1265,41.3851,2.1734
2023-01-18,Comunidad Valenciana,Valencia,1047,55,19,962,39.4699,-0.3763
2023-01-18,Extremadura,Mérida,272,12,8,253,38.916,-6.3438
2023-01-18,Galicia,Santiago,578,27,7,502,42.8782,-8.5449
2023-01-18,Madrid,Madrid,1553,76,25,1420,40.4168,-3.7038
2023-01-18,Murcia,Murcia,182,8,2,165,37.9924,-1.1307
2023-01-18,Navarra,Pamplona,159,5,2,150,42.8125,-1.6432
2023-01-18,País Vasco,Vitoria,534,28,14,470,42.8464,-2.6724
2023-01-18,La Rioja,Logroño,65,2,1,57,42.4627,-2.4449
2023-01-18,Ceuta,Ceuta,17,0,0,15,35.8891,-5.3167
2023-01-18,Melilla,Melilla,21,1,0,18,35.2923,-2.9475
2023-01-19,Andalucía,Sevilla,2151,68,30,1929,37.3886,-5.9845
2023-01-19,Aragón,Zaragoza,326,15,6,288,41.6488,-0.8891
2023-01-19,Asturias,Oviedo,261,15,7,224,43.3614,-5.8458
2023-01-19,Islas Baleares,Palma,250,8,4,222,39.5696,2.6502
2023-01-19,Canarias,Las Palmas,528,25,8,483,28.1235,-15.4134
2023-01-19,Cantabria,Santander,115,6,2,98,43.4623,-3.8044
2023-01-19,Castilla-La Mancha,Toledo,409,19,5,387,39.8628,-4.0245
2023-01-19,Castilla y León,Valladolid,529,23,13,464,41.6523,-4.7245
2023-01-19,Cataluña,Barcelona,1585,91,47,1444,41.3851,2.1734
2023-01-19,Comunidad Valenciana,Valencia,1135,58,17,991,39.4699,-0.3763
2023-01-19,Extremadura,Mérida,278,10,8,257,38.916,-6.3438
2023-01-19,Galicia,Santiago,682,39,17,593,42.8782,-8.5449
2023-01-19,Madrid,Madrid,1592,62,44,1371,40.4168,-3.7038
2023-01-19,Murcia,Murcia,258,12,3,221,37.9924,-1.1307
2023-01-19,Navarra,Pamplona,169,9,4,146,42.8125,-1.6432
2023-01-19,País Vasco,Vitoria,429,19,9,386,42.8464,-2.6724
2023-01-19,La Rioja,Logroño,69,3,1,60,42.4627,-2.4449
2023-01-19,Ceuta,Ceuta,18,0,0,15,35.8891,-5.3167
2023-01-19,Melilla,Melilla,17,0,0,14,35.2923,-2.9475
2023-01-20,Andalucía,Sevilla,1847,92,18,1709,37.3886,-5.9845
2023-01-20,Aragón,Zaragoza,249,10,5,235,41.6488,-0.8891
2023-01-20,Asturias,Oviedo,190,11,4,176,43.3614,-5.8458
2023-01-20,Islas Baleares,Palma,203,11,4,187,39.5696,2.6502
2023-01-20,Canarias,Las Palmas,479,24,13,445,28.1235,-15.4134
